Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
Wed Jul  6 20:19:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:20:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:21:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:22:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:23:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:24:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:25:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:26:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:27:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:28:01 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:29:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:30:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:31:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:32:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:33:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:34:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
AQUA / SCN               4201          5.15  2.39 -> 2.51  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:35:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / SCN               4120          5.05  2.44 -> 2.56  2022-07-11  AQUA: 1.00, SCN: 0.00
AQUA / yAQUA             4099          2.81  4.38 -> 4.50  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / iDRA              4053          2.97  4.15 -> 4.27  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / HEX               3942          2.70  4.56 -> 4.68  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             3899          2.85  4.32 -> 4.44  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / GCRX              3243          6.02  2.04 -> 2.17  2022-07-11  AQUA
XLM / BTC                2791          2.66  3.08 -> 3.16  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2596          2.47  3.32 -> 3.40  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2293          1.04  7.88 -> 7.96  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2104          1.99  4.11 -> 4.19  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2026          1.92  4.27 -> 4.35  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1764          2.52  3.25 -> 3.33  2022-07-11  USDC: 0.80, AQUA: 0.20
Wed Jul  6 20:36:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / GBPC              4227          2.90  4.24 -> 4.36  2022-07-11  AQUA
HEX / USDA               4191          2.87  2.85 -> 2.93  2022-07-11  yAQUA: 0.90, AQUA: 0.10
